"","HOUR","ID","SITE","DayNum","DATE","TIME","BEG","Date_Banded","Colony_Site_Banded","count","date.diff"
"202",10,"RD-W68","PWE",42,2015-09-03,"10:53",8,2015-06-22,"SNME",149,73
"203",10,"RD-L08","CNB",40,2015-09-01,"10:13",0,2015-07-10,"TBNS",149,53
"204",10,"YL-E08","PRPN",4,2015-07-27,"10:53",0,2015-07-01,"SYNH",149,26
"205",10,"RD-J69","PHH",31,2015-08-23,"10:44",0,2015-06-29,"JYME",149,55
"206",10,"RD-L22","PHH",59,2015-09-20,"10:36",0,2015-07-10,"TBNS",149,72
"207",10,"DB-W89","PWE",42,2015-09-03,"10:59",0,2015-06-29,"GGNY",149,66
"208",10,"RD-S60","CNBI",18,2015-08-10,"10:35",0,2015-06-24,"SYNH",149,47
"209",10,"DB-W13","PHH",59,2015-09-20,"10:24",0,2015-06-30,"GGNY",149,82
"210",10,"RD-U21","CNB",9,2015-08-01,"10:43",1,2015-06-19,"EEME",149,43
"211",10,"DB-L50","PWE",44,2015-09-05,"10:48",0,2015-06-22,"GGNY",149,75
"212",10,"DB-L46","CNB",23,2015-08-15,"10:03",0,2015-06-22,"GGNY",149,54
"213",10,"DB-P61","PHH",59,2015-09-20,"10:00",0,2015-06-25,"GGNY",149,87
"215",10,"RD-W87","PWE",42,2015-09-03,"10:50",9,2015-06-24,"SNME",149,71
"216",10,"DB-L33","CNB",37,2015-08-29,"10:08",0,2015-06-19,"GGNY",149,71
"217",10,"RD-L29","WJP",17,2015-08-09,"10:33",0,2015-07-10,"TBNS",149,30
"218",10,"RD-W48","PRPN",4,2015-07-27,"10:21",0,2015-06-20,"SNME",149,37
"219",10,"YL-E19","PHH",31,2015-08-23,"10:57",0,2015-07-24,"SYNH",149,30
"220",10,"YL-E18","PHH",59,2015-09-20,"10:43",0,2015-07-24,"SYNH",149,58
"221",10,"DB-F35","CNBI",36,2015-08-28,"10:28",0,2015-06-30,"MYMA",149,59
"222",10,"DB-X86","CNB",9,2015-08-01,"10:00",8,2015-06-25,"GGNY",149,37
"223",10,"DB-U53","CNB",37,2015-08-29,"10:49",0,2015-07-01,"GGNY",149,59
"225",10,"DB-R02","PHH",3,2015-07-26,"10:32",0,2015-06-23,"GGNY",149,33
"226",10,"DB-S20","PWE",42,2015-09-03,"10:59",0,2015-06-27,"GGNY",149,68
"227",10,"RD-U89","PRPN",16,2015-08-08,"10:21",3,2015-06-29,"EEME",149,40
"228",10,"RD-W28","CNB",40,2015-09-01,"10:22",0,2015-06-19,"SNME",149,74
"230",10,"RD-U30","PRPN",16,2015-08-08,"10:30",0,2015-06-22,"EEME",149,47
"231",10,"RD-U49","PRPN",4,2015-07-27,"10:16",5,2015-06-26,"EEME",149,31
"232",10,"DB-P89","PRPN",16,2015-08-08,"10:28",2,2015-06-26,"GGNY",149,43
"233",10,"RD-W17","PHH",3,2015-07-26,"10:23",10,2015-06-19,"SNME",149,37
"234",10,"RD-V45","WJP",17,2015-08-09,"10:14",0,2015-06-26,"SNME",149,44
"236",10,"RD-W48","PHH",3,2015-07-26,"10:26",0,2015-06-20,"SNME",149,36
"237",10,"DB-P11","PRPN",16,2015-08-08,"10:07",0,2015-06-25,"GGNY",149,44
"238",10,"RD-V28","WJP",17,2015-08-09,"10:03",0,2015-06-25,"SNME",149,45
"239",10,"DB-R63","CNB",40,2015-09-01,"10:13",1,2015-06-25,"GGNY",149,68
"240",10,"DB-T83","CNB",37,2015-08-29,"10:32",0,2015-06-27,"GGNY",149,63
"241",10,"YL-F24","CNB",32,2015-08-24,"10:28",0,2015-06-19,"FICT",149,66
"242",10,"DB-L57","CNBI",18,2015-08-10,"10:46",2,2015-06-22,"GGNY",149,49
