,ID,DayNum,DATE,Date_Banded,date.diff
210,RD-U21,9,8/1/2015,6/19/2015,43
211,DB-L50,44,9/5/2015,6/22/2015,75
212,DB-L46,23,8/15/2015,6/22/2015,54
213,DB-P61,59,9/20/2015,6/25/2015,87
215,RD-W87,42,9/3/2015,6/24/2015,71
216,DB-L33,37,8/29/2015,6/19/2015,71
217,RD-L29,17,8/9/2015,7/10/2015,30
218,RD-W48,4,7/27/2015,6/20/2015,37
219,YL-E19,31,8/23/2015,7/24/2015,30
220,YL-E18,59,9/20/2015,7/24/2015,58
221,DB-F35,36,8/28/2015,6/30/2015,59
222,DB-X86,9,8/1/2015,6/25/2015,37
223,DB-U53,37,8/29/2015,7/1/2015,59
225,DB-R02,3,7/26/2015,6/23/2015,33
226,DB-S20,42,9/3/2015,6/27/2015,68
227,RD-U89,16,8/8/2015,6/29/2015,40
228,RD-W28,40,9/1/2015,6/19/2015,74
230,RD-U30,16,8/8/2015,6/22/2015,47
231,RD-U49,4,7/27/2015,6/26/2015,31
232,DB-P89,16,8/8/2015,6/26/2015,43
233,RD-W17,3,7/26/2015,6/19/2015,37
234,RD-V45,17,8/9/2015,6/26/2015,44
236,RD-W48,3,7/26/2015,6/20/2015,36
237,DB-P11,16,8/8/2015,6/25/2015,44
238,RD-V28,17,8/9/2015,6/25/2015,45
239,DB-R63,40,9/1/2015,6/25/2015,68
240,DB-T83,37,8/29/2015,6/27/2015,63
241,YL-F24,32,8/24/2015,6/19/2015,66
242,DB-L57,18,8/10/2015,6/22/2015,49
243,RD-W09,16,8/8/2015,6/17/2015,52
244,RD-J70,16,8/8/2015,6/29/2015,40
245,DB-S52,31,8/23/2015,6/27/2015,57
246,RD-S62,23,8/15/2015,6/24/2015,52
247,DB-W23,40,9/1/2015,6/30/2015,63
248,RD-L24,16,8/8/2015,7/10/2015,29
249,DB-R88,37,8/29/2015,6/26/2015,64
250,DB-Y27,40,9/1/2015,6/20/2015,73
251,RD-L12,59,9/20/2015,7/10/2015,72
252,DB-W50,27,8/19/2015,6/30/2015,50
253,YL-E08,1,7/24/2015,7/1/2015,23
254,RD-U33,37,8/29/2015,6/22/2015,68
255,RD-U33,40,9/1/2015,6/22/2015,71
256,RD-U39,59,9/20/2015,6/25/2015,87
257,RD-V36,4,7/27/2015,6/25/2015,32
258,DB-L43,27,8/19/2015,6/20/2015,60
259,RD-U89,31,8/23/2015,6/29/2015,55
260,RD-S51,16,8/8/2015,6/24/2015,45
261,RD-U39,31,8/23/2015,6/25/2015,59
262,DB-P22,27,8/19/2015,6/26/2015,54
263,DB-W90,59,9/20/2015,6/29/2015,83
264,RD-W01,3,7/26/2015,6/17/2015,39
265,DB-R84,33,8/25/2015,6/26/2015,60
266,DB-R84,44,9/5/2015,6/26/2015,71
267,DB-P35,33,8/25/2015,6/26/2015,60
268,RD-V03,42,9/3/2015,6/24/2015,71
269,DB-F24,27,8/19/2015,6/25/2015,55
271,DB-X31,27,8/19/2015,6/24/2015,56
272,DB-W58,44,9/5/2015,6/27/2015,70
273,DB-U47,42,9/3/2015,6/30/2015,65
274,RD-S55,42,9/3/2015,6/24/2015,71
275,RD-J00,33,8/25/2015,6/25/2015,61
276,DB-S91,45,9/6/2015,6/30/2015,68
277,DB-W82,33,8/25/2015,6/29/2015,57
278,RD-U66,33,8/25/2015,6/27/2015,59
279,DB-P44,33,8/25/2015,6/26/2015,60
280,DB-L29,9,8/1/2015,6/18/2015,44
281,YL-E08,0,7/23/2015,7/1/2015,22
282,DB-W40,42,9/3/2015,6/30/2015,65
283,DB-P13,33,8/25/2015,6/25/2015,61
284,DB-R78,9,8/1/2015,6/26/2015,36
285,RD-S70,16,8/8/2015,6/25/2015,44
286,DB-R59,42,9/3/2015,6/25/2015,70
287,RD-S69,16,8/8/2015,6/24/2015,45
288,DB-R95,45,9/6/2015,6/26/2015,72
289,DB-P38,45,9/6/2015,6/26/2015,72
290,RD-V51,27,8/19/2015,6/26/2015,54
291,RD-V25,27,8/19/2015,6/25/2015,55
292,RD-L24,33,8/25/2015,7/10/2015,46
293,RD-U27,16,8/8/2015,6/22/2015,47
294,DB-R78,27,8/19/2015,6/26/2015,54
295,RD-L28,33,8/25/2015,7/10/2015,46
296,DB-S74,42,9/3/2015,6/29/2015,66
297,RD-J75,48,9/9/2015,7/6/2015,65
298,DB-P25,33,8/25/2015,6/26/2015,60
